Masses	Intensities
22.259	2.0800e0
22.296	2.1440e0
22.333	2.0542e0
22.370	1.8534e0
22.407	1.9763e0
22.444	1.9208e0
22.481	2.1521e0
22.519	2.1364e0
22.556	2.2296e0
22.593	2.1550e0
22.630	2.3402e0
22.667	2.8037e0
22.704	2.4776e0
22.741	2.9971e0
22.778	3.7509e0
22.815	4.5677e0
22.852	6.0145e0
22.889	6.6730e0
22.926	6.8841e0
22.963	7.3943e0
23.000	8.0993e0
23.037	8.1040e0
23.074	6.6689e0
23.111	6.4508e0
23.148	5.3908e0
23.185	3.4262e0
23.222	2.8077e0
23.259	1.7791e0
23.296	1.8066e0
23.333	1.5415e0
23.370	1.5160e0
23.407	1.2844e0
23.444	1.3517e0
23.481	1.2177e0
23.519	1.3830e0
23.556	1.5122e0
23.593	1.4113e0
23.630	1.3461e0
23.667	1.3081e0
23.704	1.3763e0
23.741	1.4011e0
23.778	1.5206e0
23.815	1.6703e0
23.852	2.2785e0
23.889	2.5375e0
23.926	2.6466e0
23.963	3.2658e0
24.000	3.2841e0
24.037	3.4475e0
24.074	3.5984e0
24.111	3.1214e0
24.148	2.9065e0
24.185	1.5372e0
24.222	1.1551e0
24.259	1.0468e0
24.296	1.0730e0
24.333	1.0430e0
24.370	1.1211e0
24.407	1.0055e0
24.444	1.2424e0
24.481	1.1933e0
24.519	1.0482e0
24.556	1.1925e0
24.593	1.2088e0
24.630	1.2415e0
24.667	1.0044e0
24.704	0.9516e0
24.741	0.9290e0
24.778	1.1301e0
24.815	1.3000e0
24.852	1.3759e0
24.889	1.6978e0
24.926	1.7503e0
24.963	1.8556e0
25.000	1.8110e0
25.037	1.9484e0
25.074	2.2597e0
25.111	1.9433e0
25.148	1.6214e0
25.185	1.3551e0
25.222	1.1973e0
25.259	1.0078e0
25.296	1.0168e0
25.333	0.9664e0
25.370	0.9138e0
25.407	1.0222e0
25.444	0.9004e0
25.481	0.9185e0
25.519	1.0574e0
25.556	1.0566e0
25.593	1.1045e0
25.630	1.0636e0
25.667	1.2591e0
25.704	1.0834e0
25.741	1.5138e0
25.778	2.1388e0
25.815	2.0922e0
25.852	2.9725e0
25.889	3.8379e0
25.926	4.6303e0
25.963	4.7631e0
26.000	5.1371e0
26.037	5.3696e0
26.074	5.4681e0
26.111	4.7793e0
26.148	5.2276e0
26.185	3.1765e0
26.222	2.2089e0
26.259	1.4900e0
26.296	1.1433e0
26.333	1.0826e0
26.370	0.9620e0
26.407	0.9523e0
26.444	1.1250e0
26.481	0.7973e0
26.519	0.9514e0
26.556	1.2242e0
26.593	0.9733e0
26.630	1.1429e0
26.667	1.2411e0
26.704	1.6041e0
26.741	2.1748e0
26.778	2.9889e0
26.815	3.8019e0
26.852	5.7559e0
26.889	6.5952e0
26.926	7.5147e0
26.963	9.5610e0
27.000	1.0538e1
27.037	1.0680e1
27.074	1.1425e1
27.111	1.2841e1
27.148	1.0688e1
27.185	8.2147e0
27.222	5.5531e0
27.259	4.8046e0
27.296	5.0495e0
27.333	5.0508e0
27.370	6.0511e0
27.407	6.9001e0
27.444	8.6249e0
27.481	1.1393e1
27.519	1.5879e1
27.556	2.0345e1
27.593	2.6522e1
27.630	3.6968e1
27.667	6.1850e1
27.704	1.0893e2
27.741	2.0977e2
27.778	3.8789e2
27.815	5.6331e2
27.852	7.3590e2
27.889	9.7066e2
27.926	1.2511e3
27.963	1.4885e3
28.000	1.6504e3
28.037	1.7696e3
28.074	1.8970e3
28.111	1.9144e3
28.148	1.5685e3
28.185	1.0492e3
28.222	4.5095e2
28.259	1.8210e2
28.296	9.4277e1
28.333	6.1039e1
28.370	4.1883e1
28.407	2.9693e1
28.444	2.2748e1
28.481	1.7523e1
28.519	1.3920e1
28.556	1.1975e1
28.593	1.0235e1
28.630	8.1138e0
28.667	7.3691e0
28.704	8.1628e0
28.741	9.6341e0
28.778	1.1357e1
28.815	1.4883e1
28.852	1.9004e1
28.889	2.2503e1
28.926	2.6709e1
28.963	3.0984e1
29.000	3.3148e1
29.037	3.4814e1
29.074	3.5610e1
29.111	3.4167e1
29.148	2.7320e1
29.185	1.9095e1
29.222	8.9377e0
29.259	4.4698e0
29.296	2.7195e0
29.333	2.2316e0
29.370	1.8974e0
29.407	1.6328e0
29.444	1.4806e0
29.481	1.3977e0
29.519	1.4302e0
29.556	1.2359e0
29.593	1.0954e0
29.630	1.2439e0
29.667	1.4758e0
29.704	1.5110e0
29.741	1.7984e0
29.778	2.6413e0
29.815	3.0181e0
29.852	3.9026e0
29.889	4.2163e0
29.926	4.7627e0
29.963	5.6850e0
30.000	6.0471e0
30.037	5.9663e0
30.074	6.5710e0
30.111	6.8541e0
30.148	5.6893e0
30.185	3.8203e0
30.222	2.0504e0
30.259	1.5582e0
30.296	1.2028e0
30.333	1.1523e0
30.370	1.0020e0
30.407	1.0642e0
30.444	1.1335e0
